"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
0,0,0,0,0,20,1,1,2,0,0,12,72
0,0,0,0,0,22,1,0,0,0,0,11,63
0,0,0,0,1,15,0,0,0,0,0,8,47
0,1,0,0,5,4,1,0,0,0,0,3,25
10,2,0,0,9,20,25,11,8,0,0,48,332
7,3,0,0,4,20,16,7,12,1,0,41,331
3,3,0,0,4,18,20,8,12,4,0,29,333
1,1,0,0,3,18,19,6,12,1,0,34,294
2,0,0,0,4,13,22,3,14,2,0,48,285
3,0,1,0,7,25,13,6,10,3,1,42,313
2,1,1,0,6,26,16,8,16,0,1,35,324
3,0,1,0,3,25,16,8,16,0,1,33,335
2,0,0,0,8,31,20,7,19,0,0,55,354
4,0,2,0,9,30,25,8,22,0,0,64,362
79,1,0,0,0,22,549,6,22,1,1,0,211
81,1,2,0,0,24,588,6,21,1,0,0,216
88,2,2,0,0,24,633,6,27,1,0,0,216
296,4,20,0,0,48,1128,24,177,6,0,0,398
256,3,27,0,0,34,1006,19,165,4,0,0,352
214,1,33,0,0,35,840,16,127,4,0,0,305
143,3,24,0,0,36,585,12,94,2,0,0,232
110,2,17,0,0,26,461,6,77,4,0,0,185
90,1,15,0,0,23,346,7,66,3,0,0,172
59,1,11,0,0,14,272,5,51,5,0,0,164
48,0,7,0,0,19,240,6,50,2,0,0,169
65,0,7,0,0,18,268,4,58,3,0,0,187
69,0,8,0,0,18,322,6,64,2,0,0,211
94,1,9,0,0,20,419,8,66,2,0,0,244
129,3,10,0,0,28,496,4,54,3,0,0,254
190,6,7,0,0,31,750,18,69,2,5,0,299
127,3,4,0,0,20,572,11,69,2,6,0,284
82,0,4,0,0,21,400,11,66,1,7,0,251
65,0,3,0,0,20,348,9,65,3,6,0,216
68,1,4,0,0,18,297,7,56,0,5,0,202
83,2,5,0,0,20,315,7,54,2,3,0,186
97,5,7,0,0,16,317,6,53,3,2,0,189
107,3,9,0,0,24,336,5,61,3,2,0,175
138,3,15,0,0,24,405,10,80,3,0,0,191
176,3,26,0,0,29,496,19,95,4,0,0,193
244,5,48,0,0,33,674,28,142,4,2,0,255
291,5,62,2,0,45,829,31,210,6,2,0,294
341,5,63,3,0,53,881,31,254,8,3,0,298
6,2,2,0,2,25,31,9,29,1,0,11,365
5,6,11,0,0,44,36,24,76,4,0,0,343
8,6,13,0,0,45,39,34,103,2,0,0,385
9,5,15,1,0,49,47,31,109,3,0,0,452
9,7,22,1,0,49,60,25,134,2,0,0,480
11,9,27,0,0,50,80,22,155,4,1,0,507
10,8,22,0,0,38,72,13,131,4,1,0,393
4,0,6,0,2,5,5,3,28,0,1,3,22
21,2,8,1,12,37,119,14,74,13,10,51,346
12,7,25,0,0,55,98,12,151,3,1,0,432
167,0,14,0,0,37,786,25,52,4,3,0,198
0,54,0,0,0,0,1,95,0,0,0,0,3
2,87,0,0,0,0,1,123,0,0,0,0,3
1,54,1,0,0,0,1,128,1,0,0,0,3
1,50,0,0,0,0,0,146,3,0,0,0,2
0,48,1,0,0,0,0,144,5,0,0,0,2
1,54,2,0,2,0,0,145,2,0,0,1,1
78,18,14,2,24,42,278,76,64,0,6,80,304
1,0,0,0,0,0,0,0,2,0,0,0,0
4,5,2,0,1,7,9,21,14,0,0,5,112
4,6,0,0,1,7,20,27,29,1,0,11,142
4,7,3,0,0,13,18,28,40,0,0,10,158
3,4,6,0,1,18,32,41,51,3,0,12,209
2,9,11,0,2,17,30,34,66,1,0,15,198
4,11,11,0,3,20,40,43,74,1,0,16,198
88,21,13,2,21,49,283,87,74,0,6,75,296
10,15,9,0,0,26,40,36,72,0,0,0,214
3,2,1,0,0,4,6,5,0,1,0,0,63
0,5,1,0,0,9,6,1,0,0,0,1,54
2,1,0,0,0,6,11,2,2,0,0,1,55
1,3,0,0,0,5,6,6,1,0,0,2,40
1,4,5,0,0,1,18,23,32,0,0,1,33
0,0,0,0,0,21,5,8,2,3,0,1,195
3,34,15,1,2,92,11,60,54,6,2,6,361
17,5,3,1,5,40,35,17,15,0,0,8,286
8,6,1,0,5,34,21,16,10,0,0,6,271
4,4,1,0,5,28,10,19,10,0,0,4,259
3,4,3,0,3,22,9,17,8,0,0,4,242
2,4,2,0,2,18,14,11,6,2,0,7,251
1,2,2,0,1,21,13,8,9,4,0,7,299
1,2,1,0,1,27,16,13,11,4,0,4,324
2,2,0,0,0,21,23,14,11,3,0,3,351
76,19,14,2,6,43,144,28,52,0,1,11,166
1,4,0,0,1,6,10,7,0,0,0,3,56
1,5,0,0,2,11,10,13,2,0,0,6,69
0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,17,0,0,4,28,16,98,0,0,5,14
20,8,7,0,4,44,44,16,15,0,0,11,289
4,4,24,0,0,4,14,40,171,1,0,5,29
5,9,27,0,0,4,12,42,172,1,0,5,25
6,12,40,0,1,7,13,56,225,1,0,6,28
4,13,44,0,3,7,15,54,254,1,0,10,28
7,14,37,0,2,5,22,44,262,0,0,13,32
3,4,0,0,1,28,6,7,6,0,1,9,210
2,6,0,0,0,31,7,4,9,0,1,8,202
43,9,12,0,0,145,73,27,21,3,2,0,533
1,1,2,0,1,22,0,2,3,0,0,2,56
2,2,2,0,0,4,3,2,10,1,0,2,18
0,1,0,0,0,1,1,0,1,0,0,0,2
0,2,0,0,0,6,2,0,1,0,0,9,23
1,0,0,0,1,3,1,0,1,0,0,10,20
7,3,2,0,0,8,47,16,16,0,0,0,35
17,11,1,1,2,58,30,13,11,0,0,4,118
0,0,0,0,0,0,0,1,0,0,0,0,1
24,9,4,1,5,54,17,18,11,0,0,2,95
24,13,3,1,3,54,16,13,9,0,0,6,80
23,11,4,1,6,51,18,10,9,0,0,8,72
21,10,6,0,6,54,19,11,6,1,0,6,66
1,0,1,0,0,12,4,0,2,1,0,1,28
2,0,1,0,0,10,3,0,1,1,0,1,28
3,0,0,0,0,6,6,0,1,1,0,1,27
3,0,0,0,0,9,7,0,0,0,0,2,31
4,0,2,0,2,14,10,0,3,0,0,6,23
0,1,0,0,1,4,0,1,1,0,0,0,5
0,0,0,0,1,6,0,0,1,0,0,0,4
12,0,2,0,0,9,37,1,7,0,0,3,83
18,0,4,0,1,10,41,3,14,0,0,8,96
24,0,4,0,2,16,53,7,20,0,0,12,102
49,1,4,0,4,28,89,12,31,0,0,20,130
62,3,6,0,7,37,132,14,36,0,0,22,159
1,1,5,0,0,13,1,4,4,0,0,0,39
1,2,0,0,1,13,0,7,3,2,0,1,39
4,0,3,0,1,11,9,1,2,0,0,5,21
0,0,0,0,0,0,2,1,0,0,0,0,5
0,0,0,0,1,2,5,0,0,0,0,0,6
1,0,0,0,1,2,10,1,4,0,0,1,8
3,0,0,0,1,3,20,0,3,0,0,0,12
10,0,0,0,1,4,38,0,3,0,0,1,21
1,0,1,0,0,4,13,3,3,0,0,1,30
2,0,1,0,0,7,15,1,2,0,0,1,31
6,0,3,0,3,13,30,3,5,0,0,2,58
7,2,1,0,2,9,45,1,6,0,0,5,73
12,2,2,0,2,7,59,2,8,0,0,7,76
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,5
2,0,0,0,0,0,2,0,0,0,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,3,0,0,0,0,0,3
2,1,0,0,1,0,4,1,0,0,0,0,6
0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,0,2,2,0,0,0,0,0,6
6,0,1,0,0,1,7,0,0,0,0,0,8
0,0,0,0,0,2,2,1,0,0,0,1,0
6,0,0,0,0,4,6,2,2,0,0,1,6
24,11,9,0,6,48,21,12,8,0,0,4,55
5,1,0,0,3,13,17,1,5,0,0,5,65
6,4,1,0,0,10,55,13,20,0,0,0,52
18,2,2,0,0,18,68,12,32,0,0,0,61
28,4,9,0,0,19,100,19,32,0,0,0,63
37,5,15,0,0,24,123,26,42,0,0,0,66
4,5,3,0,6,17,14,16,12,0,0,18,69
2,1,2,0,2,18,7,14,12,1,0,24,65
2,0,1,0,1,3,3,1,1,0,0,0,18
1,0,0,0,1,1,2,2,1,0,0,1,17
1,1,1,0,2,3,2,3,3,0,0,1,17
5,0,1,0,0,8,2,1,5,0,0,1,21
6,0,1,0,1,10,6,4,8,0,0,1,25
0,0,0,0,0,4,0,0,0,0,0,0,9
0,0,0,0,0,1,0,0,1,0,0,0,11
4,0,2,0,1,8,10,1,4,0,0,1,13
4,0,2,0,1,13,11,1,3,0,0,1,17
6,1,3,0,1,12,10,0,1,0,0,0,16
11,1,3,0,1,7,11,1,4,0,0,1,14
18,1,4,0,3,10,10,2,4,0,0,2,20
11,10,4,0,3,10,51,13,11,0,0,6,182
10,11,2,0,2,12,49,17,21,0,2,9,150
15,9,2,0,3,16,55,17,18,0,3,8,140
19,8,0,0,3,21,49,25,16,0,6,9,122
2,9,0,0,0,19,6,14,4,0,0,2,118
2,15,1,0,1,16,5,26,5,0,0,12,111
5,13,1,0,2,13,10,33,6,0,0,12,138
3,23,5,0,4,26,12,38,12,0,0,16,151
5,16,5,0,4,18,8,32,16,0,0,20,141
1,1,5,0,0,4,8,12,9,0,0,1,27
0,1,0,0,0,6,1,3,2,0,0,1,89
1,1,0,0,0,15,2,5,4,0,0,1,71
0,0,0,0,0,0,11,1,8,0,0,1,19
17,1,3,0,3,16,97,7,28,5,0,50,272
1,0,0,0,0,6,5,2,0,0,0,0,20
1,4,2,0,5,16,35,10,9,1,0,37,267
3,4,1,0,3,21,37,13,5,2,0,44,272
4,5,1,0,8,23,32,13,6,1,0,38,289
5,6,1,0,15,26,32,16,10,1,0,47,299
0,82,0,0,5,1,1,139,2,0,0,10,5
0,65,0,0,1,0,0,115,2,1,0,0,2
7,0,0,2,5,16,40,6,9,6,2,45,273
8,0,0,0,7,17,43,6,14,5,2,47,273
12,0,1,0,9,21,47,4,15,6,0,51,329
12,1,2,0,6,33,62,2,21,6,1,70,364
9,1,3,1,11,35,76,2,24,2,2,83,352
4,0,2,0,1,2,15,1,12,0,0,17,63
4,0,2,0,2,3,11,0,10,0,0,14,54
6,0,1,0,1,4,12,2,10,0,0,12,75
19,1,5,1,0,10,81,13,44,1,2,0,192
6,5,2,0,0,25,72,36,10,3,0,1,303
10,5,1,2,0,35,70,40,7,3,1,6,339
15,7,2,2,4,50,81,48,12,0,0,7,370
14,10,4,0,6,40,90,45,21,2,0,13,363
16,9,8,0,8,48,96,57,33,2,1,20,387
6,11,6,0,5,27,25,29,6,3,0,22,220
3,15,6,0,14,28,26,33,12,2,1,45,264
5,17,5,0,15,24,26,29,20,4,1,34,272
8,17,4,0,14,22,41,49,26,5,0,32,300
9,19,6,0,9,32,54,55,38,2,0,49,333
28,2,3,0,3,19,48,8,4,0,0,18,107
30,4,2,0,4,22,55,12,11,0,0,12,89
3,0,1,0,9,14,15,0,5,2,0,50,246
2,0,1,0,3,14,16,1,7,2,0,34,212
3,0,0,0,6,9,17,1,8,1,0,39,243
10,4,0,0,0,9,43,9,3,0,0,0,94
9,1,2,0,0,14,40,6,4,0,0,0,80
9,1,3,0,0,15,26,6,3,0,0,0,90
17,7,1,0,3,23,55,19,6,1,0,21,171
29,5,19,0,0,25,146,10,100,3,2,0,282
19,2,8,0,0,27,130,11,69,4,1,0,232
20,2,6,0,0,26,128,12,49,3,1,0,240
20,3,5,0,0,19,102,19,49,4,2,0,232
5,5,3,0,0,28,20,22,55,0,0,14,298
6,2,10,0,1,33,30,19,71,0,0,16,318
5,7,7,0,2,34,33,20,59,0,0,24,370
7,9,5,0,4,22,46,32,87,0,0,31,391
6,12,8,0,2,40,56,40,114,1,2,35,421
8,9,15,0,5,39,60,44,143,1,3,47,467
47,11,18,0,11,60,219,35,165,6,0,76,473
64,10,20,0,23,68,290,35,203,4,0,117,515
79,13,30,0,39,106,365,45,251,3,0,189,611
103,17,46,0,57,120,450,41,280,7,0,270,652
118,15,56,1,0,144,509,39,281,2,2,0,765
7,3,2,11,1,24,49,13,15,3,2,4,168
12,9,4,1,5,36,75,15,25,4,3,6,224
21,15,6,2,7,55,104,17,27,3,4,16,302
33,2,3,0,4,24,67,12,15,1,0,9,98
43,7,4,0,3,35,90,12,17,1,0,6,123
14,12,2,0,12,46,55,24,19,3,0,41,460
57,6,3,1,1,42,110,7,24,0,0,11,142
72,7,8,1,0,45,132,9,19,0,1,19,163
7,1,2,0,0,8,18,3,13,0,0,0,103
12,1,4,0,7,31,68,16,19,1,1,34,282
9,0,6,0,4,41,86,6,35,1,2,31,416
7,5,1,0,15,36,30,14,13,1,0,81,344
10,6,1,0,17,44,41,20,22,2,0,102,373
14,11,1,0,22,57,57,23,32,2,0,147,420
46,13,35,1,17,67,176,28,170,7,1,56,644
6,0,2,0,2,26,41,14,20,1,0,17,321
8,0,5,0,5,24,45,12,18,0,0,23,384
8,2,5,0,2,23,64,10,22,0,0,37,408
15,2,3,0,6,29,103,10,19,0,0,42,466
0,0,26,1,7,1,0,2,127,1,0,16,13
0,0,27,1,0,1,1,3,148,0,0,0,9
43,5,27,0,0,30,181,10,132,2,2,0,324
27,15,6,0,6,46,131,35,44,0,1,21,489
1,0,1,0,0,15,1,1,5,2,0,0,197
1,1,0,0,0,19,2,3,5,3,0,0,169
1,1,1,0,0,13,5,1,3,3,0,0,174
14,0,2,4,1,17,76,5,41,0,4,5,142
17,1,6,3,1,18,101,3,52,1,5,9,153
1,0,0,0,0,13,8,1,3,1,0,0,205
2,0,0,0,1,16,7,1,3,0,0,5,200
7,1,1,0,6,18,34,5,9,3,0,54,162
6,1,2,0,7,23,36,7,7,1,0,44,189
9,2,2,0,7,26,35,4,6,2,0,45,236
11,2,1,0,11,36,59,12,12,1,0,79,271
9,3,3,0,30,37,93,10,21,0,0,131,301
33,3,6,0,3,58,140,14,41,1,1,17,367
1,1,0,0,1,3,9,2,1,0,0,10,24
0,0,0,0,0,3,7,1,2,0,0,7,23
1,0,0,0,2,3,5,1,4,0,0,7,28
2,0,1,0,2,6,12,2,1,1,0,11,43
6,0,1,0,8,6,19,5,1,1,0,18,58
10,1,1,0,1,28,47,7,2,1,0,5,132
0,1,0,0,2,3,2,2,4,0,0,8,18
0,0,0,0,2,5,2,2,4,0,0,11,15
0,0,1,0,2,0,0,1,4,0,0,7,11
0,0,0,0,3,1,1,0,1,0,0,4,13
0,0,0,0,1,0,1,0,0,0,0,5,19
0,0,0,0,0,1,1,1,0,0,0,3,15
19,3,1,0,0,7,122,10,13,0,0,0,64
9,1,0,0,0,10,92,5,13,1,0,0,58
3,0,1,0,0,8,72,2,10,0,0,0,49
7,0,0,0,0,4,50,8,11,0,0,0,42
4,0,0,0,0,2,43,8,11,0,0,0,36
1,3,6,0,0,16,6,6,22,0,3,0,102
2,3,4,0,0,13,2,4,17,0,1,0,79
1,3,1,0,0,13,0,3,12,0,1,0,55
2,2,1,0,0,7,1,3,8,0,0,0,45
0,0,0,0,0,3,1,5,9,0,0,0,37
17,11,20,0,0,48,77,55,161,1,4,0,496
0,1,0,0,0,19,4,2,2,2,0,7,175
0,1,0,0,2,18,3,2,3,2,0,9,193
0,1,0,0,3,23,5,2,5,4,0,7,205
0,0,1,0,1,21,5,2,6,3,0,11,248
0,0,1,0,2,34,3,2,8,2,0,7,271
25,3,29,4,0,7,137,15,136,1,19,9,141
31,3,22,2,2,7,177,16,181,6,14,13,140
50,2,18,0,2,15,246,15,172,9,10,30,150
48,2,20,0,5,13,314,17,190,11,7,40,137
69,5,22,0,8,17,443,18,228,4,7,50,139
3,1,0,0,0,8,3,4,1,0,0,0,75
1,2,0,0,1,7,10,4,2,0,0,1,88
2,3,0,0,1,12,11,7,4,0,1,4,96
2,2,0,0,0,19,12,7,3,0,0,6,94
6,0,1,0,2,18,16,1,9,1,1,12,174
0,0,1,0,0,9,1,0,1,0,0,1,29
0,0,1,0,0,6,1,0,4,0,0,1,28
0,0,1,0,0,7,0,0,2,0,0,1,25
0,0,0,0,0,17,3,1,6,1,0,0,188
0,0,0,0,0,18,5,3,4,2,0,0,183
0,0,0,0,0,19,1,1,5,1,0,0,179
19,3,3,1,4,38,84,14,27,0,1,37,292
59,2,24,0,10,29,180,6,100,1,2,55,232
1,0,1,0,0,29,1,0,1,1,0,0,217
19,0,1,0,0,6,76,1,4,0,0,0,39
29,0,1,0,0,12,97,0,9,1,0,0,46
41,0,0,0,0,14,110,1,7,0,0,0,55
66,0,5,0,0,16,206,4,17,3,0,0,80
123,1,6,0,0,25,307,3,24,3,0,0,123
143,0,6,0,0,26,379,2,15,1,0,0,130
13,42,12,0,8,65,72,93,65,3,0,33,594
24,56,15,0,6,83,102,107,75,4,1,35,693
39,15,9,0,3,61,186,45,51,0,1,27,537
62,12,10,0,5,90,219,44,57,0,1,31,576
90,12,15,0,10,104,322,55,71,1,1,40,588
